TestId,Pillar,Category,Title,RiskLevel,ImplementationCost,Status,AuditResult,Notes
21770,Identity,Access control,Inactive applications don't have highly privileged Microsoft Graph API permissions,Medium,Low,,,
21771,Identity,Application management,Inactive applications don't have highly privileged built-in roles,High,Low,,,
21772,Identity,Application management,Applications don't have client secrets configured,High,Medium,,,
21773,Identity,Application management,Applications don't have certificates with expiration longer than 180 days,Medium,Medium,,,
21774,Identity,Application management,Microsoft services applications don't have credentials configured,High,Low,,,
21775,Identity,Access control,Tenant app management policy is configured,Low,Low,,,
21776,Identity,Application management,User consent settings are restricted,High,Medium,,,
21777,Identity,Access control,App instance property lock is configured for all multitenant applications,High,Low,,,
21778,Identity,Application management,Line-of-business and partner apps use MSAL,Medium,High,,,
21779,Identity,Application management,Use recent versions of Microsoft Applications,Medium,Medium,,,
21780,Identity,Application management,No usage of ADAL in the tenant,Medium,High,,,
21781,Identity,Privileged access,Privileged users sign in with phishing-resistant methods,High,Medium,,,
21782,Identity,Privileged access,Privileged accounts have phishing-resistant methods registered,High,Medium,,,
21783,Identity,Access control,Privileged Entra built-in roles are targeted with CA policies to enforce phishing-resistant methods,High,Medium,,,
21784,Identity,Access control,All user sign-in activity uses phishing-resistant authentication methods,Medium,Medium,,,
21786,Identity,Access control,User sign-in activity uses token protection,High,Low,,,
21787,Identity,Privileged access,Permissions to create new tenants are limited to the Tenant Creator role,High,Medium,,,
21788,Identity,Privileged access,Global Administrators don't have standing access to Azure subscriptions,High,Low,,,
21789,Identity,Monitoring,Tenant creation events are triaged,Medium,Low,,,
21790,Identity,Application management,Outbound cross-tenant access settings are configured,High,High,,,
21791,Identity,External collaboration,Guests can't invite other guests,Medium,Low,,,
21792,Identity,External collaboration,Guests have restricted access to directory objects,Medium,Low,,,
21793,Identity,Application management,Tenant restrictions v2 policy is configured,High,Medium,,,
21795,Identity,Monitoring,No legacy authentication sign-in activity,Medium,Low,,,
21796,Identity,Access control,Block legacy authentication policy is configured,Medium,Low,,,
21797,Identity,Access control,Restrict access to high risk users,High,Medium,,,
21798,Identity,Access control,ID Protection notifications are enabled,High,Low,,,
21799,Identity,Access control,Restrict high risk sign-ins,High,Medium,,,
21800,Identity,Monitoring,All user sign-in activity uses strong authentication methods,Medium,Medium,,,
21801,Identity,Credential management,Users have strong authentication methods configured,Medium,Medium,,,
21802,Identity,Access control,Authenticator app shows sign-in context,Medium,Low,,,
21803,Identity,Credential management,Migrate from legacy MFA and SSPR policies,High,Medium,,,
21804,Identity,Credential management,SMS and Voice Call authentication methods are disabled,High,Medium,,,
21806,Identity,Access control,Secure the MFA registration (My Security Info) page,High,Medium,,,
21807,Identity,Application management,Creating new applications and service principals is restricted to privileged users,Medium,Low,,,
21808,Identity,Access control,Restrict device code flow,High,Low,,,
21809,Identity,Application management,Admin consent workflow is enabled,High,Low,,,
21810,Identity,Access control,Resource-specific consent is restricted,Medium,Medium,,,
21811,Identity,Credential management,Password expiration is disabled,Medium,Low,,,
21812,Identity,Privileged access,Maximum number of Global Administrators doesn't exceed eight users,Low,Low,,,
21813,Identity,Privileged access,High Global Administrator to privileged user ratio,Low,Low,,,
21814,Identity,Privileged access,Privileged accounts are cloud native identities,High,Medium,,,
21815,Identity,Privileged access,All privileged role assignments are activated just in time and not permanently active,High,High,,,
21816,Identity,Privileged access,All privileged role assignments are managed with PIM,Low,Low,,,
21817,Identity,Application management,Global Administrator role activation triggers an approval workflow,High,Medium,,,
21818,Identity,Monitoring,Privileged role activations have monitoring and alerting configured,High,Medium,,,
21819,Identity,Privileged access,Activation alert for Global Administrator role assignments,Medium,Low,,,
21820,Identity,Privileged access,Activation alert for all privileged role assignments,Low,Medium,,,
21821,Identity,Access control,Guest access is restricted,Medium,Medium,,,
21822,Identity,Access control,Guest access is limited to approved tenants,Medium,High,,,
